음료,,푸드,상품,
콜드브루,100,브레드,머그,
브루드커피,200,케이크,글라스,
에스프레소,300,샌드위치&샐러드,플라스틱 텀블러,
프라푸치노,400,따뜻한 푸드,스테인리스 텀블러,
블렌디드,500,과일&요거트,보온병,
스타벅스피지오,600,스낵&미니 디저트,액세서리,
티(티바나),700,아이스크림,커피용품,
기타제조음료,800,,패키지 티,
스타벅스주스(병음료),900,,,
